contract_row,player,player_key,pos,signed_team_raw,signed_team,age_at_signing,start_year,end_year_raw,yrs,value,average_salary,average_of_cap_at_sign,expected_end_year,end_year,end_year_was_fixed,stat_season,stat_player,stat_team,stat_pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception,adv_targets,adv_receptions,adv_yards,adv_rec_touchdowns,adv_catch_percentage,adv_avg_cushion,adv_avg_separation,adv_avg_intended_air_yards,adv_avg_yac,adv_avg_expected_yac,adv_avg_yac_above_expectation,adv_percent_share_of_intended_air_yards,adv_yards_per_target,adv_yards_per_reception,adv_td_per_target,team_passing_yards,team_passing_tds,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_epa,league_avg_team_passing_yards,league_avg_team_passing_tds,league_avg_team_passing_epa,league_avg_team_rushing_yards,league_avg_team_rushing_tds,league_avg_team_rushing_epa
9568,Trishton Jackson,trishton jackson,WR,ARI ARI,ARI,26,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3859,21,64.52634920272746,2451,18,21.71392802745348,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9571,Brandon Johnson,brandon johnson,WR,PIT PIT,PIT,26,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,Brandon Johnson,PIT,WR,1,1,1,9,0,0,0,5,4,0.7032771672820672,1,9,9,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3607,21,4.436190221322731,2166,14,-48.227744902210674,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9576,Lawrence Cager,lawrence cager,WR,WAS WAS,WAS,27,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3932,29,79.29114238935429,2619,25,67.61982720882696,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9578,Isaiah Hodgins,isaiah hodgins,WR,NYG NYG,NYG,26,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,Isaiah Hodgins,NYG,WR,2,2,2,12,0,0,0,11,1,0.5176436412148178,1,6,6,0,5.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3521,15,-96.14862862966382,1783,13,-28.960763415283843,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9585,Kristian Wilkerson,kristian wilkerson,WR,BUF BUF,BUF,27,2025,2025,1,1100000,1100000,0.0039000000000000003,2025,2025,FALSE,2024,Kristian Wilkerson,LV,WR,1,3,2,18,1,0,2,16,11,2.8614929061732255,0.6666666666666666,6,9,0.3333333333333333,5.333333333333333,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3938,30,132.67171673932293,2230,32,48.12527660571717,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9592,Jalen Virgil,jalen virgil,WR,BUF BUF,BUF,26,2025,2025,1,1034500,1034500,0.0037,2025,2025,FALSE,2024,Jalen Virgil,BUF,WR,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3938,30,132.67171673932293,2230,32,48.12527660571717,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9640,Cody White,cody white,WR,SEA SEA,SEA,26,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,Cody White,SEA,WR,2,3,2,44,0,0,2,40,13,2.547461475885939,0.6666666666666666,14.666666666666666,22,0,13.333333333333334,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4379,21,8.423787470504083,1627,17,-20.498744777141418,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9656,Irvin Charles,irvin charles,WR,NYJ NYJ,NYJ,27,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,Irvin Charles,NYJ,WR,8,1,0,0,0,0,0,3,0,-0.4098327741958201,0,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4016,31,21.34228398821374,1561,8,-23.948942152627172,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9658,Bo Melton,bo melton,WR,GB GB,GB,25,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,Bo Melton,GB,CB,13,17,8,91,0,0,5,303,7,-1.1558007349667605,0.47058823529411764,5.352941176470588,11.375,0,17.823529411764707,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3939,28,77.43815873048725,2496,23,3.931955706319374,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
9670,Kyle Philips,kyle philips,WR,LV LV,LV,25,2025,2025,1,1030000,1030000,0.0037,2025,2025,FALSE,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4117,19,-62.91733084732314,1357,10,-91.87499130037199,3969.5,25.28125,22.70462124759528,2036.6875,15.96875,-12.075378173217562
