season,team,team_passing_yards,team_passing_tds,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_epa
2014,MIA,4066,27,29.305019724184056,1872,12,-30.06787133739857
2014,MIN,3566,17,-32.61303158386419,1804,12,-4.254392932334558
2014,NE,4291,34,102.95668998603986,1727,13,-18.477568887889422
2014,NO,4952,33,99.09286441302228,1818,16,-14.285153567764663
2014,NYG,4470,30,64.64183932520103,1603,13,-57.08259835200135
2014,NYJ,3206,16,-63.29402659934494,2280,11,-30.931582795904312
2014,PHI,4581,27,48.430704680732156,1992,16,-58.24028490039603
2014,PIT,4997,33,162.29943292075347,1752,10,-46.06460154931026
2014,SEA,3492,20,41.75864261132764,2762,20,34.42787600238695
2014,SF,3407,20,3.442206039439598,2176,10,-55.19507517085769
2014,TB,3623,21,-30.40943357559492,1375,7,-44.84436322258644
2014,TEN,3738,20,-69.45352882514305,1447,6,-30.904071735933737
2014,WAS,4461,18,-17.546492955953262,1691,15,-36.43268683947334
2015,ARI,4775,35,142.46525964098925,1917,16,-27.7469323119212
2015,ATL,4602,21,72.34844252021891,1606,13,-73.04481076041117
2015,BAL,4449,21,-18.648257388418454,1478,8,-54.862547191322236
2015,BUF,3600,23,43.53203010535892,2432,19,8.106519793128054
2015,CAR,3873,35,85.86609990519874,2282,19,6.919146563638752
2015,CHI,3843,21,5.255541195294274,1854,13,-27.4487426756843
2015,CIN,4104,31,125.68454852987517,1805,18,-54.65101583478565
2015,CLE,4156,20,-37.22303268052066,1529,5,-39.195723808453366
2015,DAL,3677,16,-46.13478794334687,1890,8,-10.008070782013835
2015,DEN,4216,19,-26.848570396328753,1718,13,-44.97923971470357
2015,DET,4463,33,24.723327870647523,1335,7,-38.177854502908836
2015,GB,3825,31,-7.410608368179486,1850,8,-24.836679081330516
2015,HOU,4079,29,5.543261859931349,1731,7,-58.25913614032939
2015,IND,3928,26,-24.842735584531123,1438,6,-77.46362533454878
2015,JAX,4428,35,2.1673543335658207,1473,5,-64.88090929418895
2015,KC,3493,20,27.513570398516272,2044,19,5.571381168478954
2015,LA,2931,11,-84.26526021480669,1956,16,-58.5425000428937
2015,LAC,4855,30,74.24617151116739,1358,4,-76.27448869421747
2015,LV,4129,34,-9.781290429274977,1457,7,-41.62655356005948
2015,MIA,4231,24,0.41032867966605213,1496,11,-33.000191759396365
2015,MIN,3246,14,-5.987777484615307,2211,18,3.7961292948308163
2015,NE,4812,36,127.55207590305136,1404,14,-12.693780753458833
2015,NO,5205,32,120.20925621110624,1491,16,-31.697809578200744
2015,NYG,4500,36,62.419861169234444,1609,5,-46.43590058460178
2015,NYJ,4170,33,73.83009702011127,1868,11,-41.214747631782714
2015,PHI,4341,23,-8.604878421846788,1743,15,-42.227795778370506
2015,PIT,4822,26,67.62887780454476,1724,16,-11.137923625815361
2015,SEA,4061,34,129.0088794010115,2268,10,-31.764402398523195
2015,SF,3646,16,-58.14689586175746,1544,7,-21.80701015430707
2015,TB,4042,22,48.395813801191494,2162,12,-29.15192863283919
2015,TEN,3893,25,-61.00959418086284,1485,10,-52.97720722653666
2015,WAS,4294,30,104.4906205497105,1566,9,-70.95665420951221
2016,ARI,4425,28,19.32708969324939,1732,20,-33.14029407170747
2016,ATL,4960,38,172.49393355559928,1928,20,0.004772095608824856
2016,BAL,4343,20,-31.26573891152833,1463,10,-24.793175057310957
2016,BUF,3250,17,20.165317539858087,2630,29,43.77742129822451
2016,CAR,3962,21,-26.78540088712222,1814,16,-31.360405379202895
2016,CHI,4139,19,7.397014502923117,1735,10,-37.862160134958685
2016,CIN,4206,18,63.68831079074759,1769,17,-10.034059794278486
2016,CLE,3693,15,-36.70367194272995,1712,13,-35.286059824423184
2016,DAL,3799,25,113.29318937399735,2396,24,22.672139671064112
2016,DEN,3914,20,15.526789734062648,1484,11,-67.35255812955872
2016,DET,4327,24,73.99657127971115,1310,9,-32.494160243431125
2016,GB,4445,40,124.32931659349681,1701,11,-5.062696948825163
2016,HOU,3418,15,-57.536832348711165,1859,8,-45.98693918054728
2016,IND,4491,32,57.68345641935877,1628,13,-33.458239839705776
2016,JAX,3925,24,-45.94678742221105,1631,8,-41.75805884005932
2016,KC,3914,19,39.67847521783438,1748,15,-27.46806060121328
2016,LA,3313,14,-143.21822083871177,1252,9,-63.14108018608949
2016,LAC,4386,33,48.584379479255865,1510,10,-43.832343965810196
2016,LV,4137,29,59.35730376330116,1922,17,-33.49336057477896
2016,MIA,3716,27,40.05592836811161,1824,14,-25.53717775590209
