season,player_key,player,team,pos,reg_games,reg_targets,reg_receptions,reg_receiving_yards,reg_receiving_tds,reg_receiving_fumbles,reg_receiving_first_downs,reg_receiving_air_yards,reg_receiving_yards_after_catch,reg_receiving_epa,reg_catch_rate,reg_yards_per_target,reg_yards_per_reception,reg_td_per_target,reg_air_yards_per_target,reg_yac_per_reception
2011,james jones,James Jones,GB,WR,15,55,38,635,7,1,27,664,270,35.32960490889636,0.6909090909090909,11.545454545454545,16.710526315789473,0.12727272727272726,12.072727272727272,7.105263157894737
2011,jarett dillard,Jarett Dillard,JAX,WR,13,50,29,292,1,0,16,508,42,8.497943922714096,0.58,5.84,10.068965517241379,0.02,10.16,1.4482758620689655
2011,jason avant,Jason Avant,PHI,WR,16,81,52,679,1,2,34,856,173,21.696534264758522,0.6419753086419753,8.382716049382717,13.057692307692308,0.012345679012345678,10.567901234567902,3.326923076923077
2011,jason hill,Jason Hill,JAX,WR,10,55,25,367,3,0,17,644,121,-3.84937100938987,0.45454545454545453,6.672727272727273,14.68,0.05454545454545454,11.709090909090909,4.84
2011,jeff maehl,Jeff Maehl,HOU,WR,1,1,0,0,0,0,0,3,0,-1.185208440758288,0,0,NA,0,3,NA
2011,jeremy horne,Jeremy Horne,KC,WR,4,2,0,0,0,0,0,-9,0,-2.0623648755718023,0,0,NA,0,-4.5,NA
2011,jeremy kerley,Jeremy Kerley,NYJ,WR,14,47,29,314,1,0,19,473,100,6.921788753720734,0.6170212765957447,6.680851063829787,10.827586206896552,0.02127659574468085,10.063829787234043,3.4482758620689653
2011,jeremy maclin,Jeremy Maclin,PHI,WR,13,97,63,859,5,1,43,1155,260,31.99105058866951,0.6494845360824743,8.855670103092784,13.634920634920634,0.05154639175257732,11.907216494845361,4.126984126984127
2011,jerheme urban,Jerheme Urban,KC,WR,5,13,4,35,1,0,1,140,3,-12.309528522904536,0.3076923076923077,2.6923076923076925,8.75,0.07692307692307693,10.76923076923077,0.75
2011,jerome simpson,Jerome Simpson,CIN,WR,16,105,50,725,4,0,34,1185,232,18.06844260583057,0.47619047619047616,6.904761904761905,14.5,0.0380952380952381,11.285714285714286,4.64
2011,jerrel jernigan,Jerrel Jernigan,NYG,WR,6,2,0,0,0,0,0,13,0,-2.754602469066496,0,0,NA,0,6.5,NA
2011,jerricho cotchery,Jerricho Cotchery,PIT,WR,10,30,16,237,2,0,13,310,64,12.171012315077139,0.5333333333333333,7.9,14.8125,0.06666666666666667,10.333333333333334,4
2011,jesse holley,Jesse Holley,DAL,WR,11,7,7,169,0,0,6,109,60,10.807029061273118,1,24.142857142857142,24.142857142857142,0,15.571428571428571,8.571428571428571
2011,joe hastings,Joe Hastings,SF,WR,1,1,0,0,0,0,0,2,0,-0.9113211445510023,0,0,NA,0,2,NA
2011,jordan norwood,Jordan Norwood,CLE,WR,11,34,23,268,1,0,15,305,84,12.361564967175372,0.6764705882352942,7.882352941176471,11.652173913043478,0.029411764705882353,8.970588235294118,3.652173913043478
2011,jordan shipley,Jordan Shipley,CIN,WR,2,5,4,14,0,1,1,30,0,-1.5414767403854057,0.8,2.8,3.5,0,6,0
2011,jordy nelson,Jordy Nelson,GB,WR,16,96,68,1263,15,0,47,1196,411,83.62540231530768,0.7083333333333334,13.15625,18.573529411764707,0.15625,12.458333333333334,6.044117647058823
2011,josh johnson,Josh Johnson,TB,QB,9,2,0,0,0,0,0,84,0,-0.9848452892620116,0,0,NA,0,42,NA
2011,josh morgan,Josh Morgan,SF,WR,5,20,15,220,1,0,12,163,96,15.13133492981433,0.75,11,14.666666666666666,0.05,8.15,6.4
