feature,coefficient
regWeightedReceivingEpaPerGame,-7.435276130236023e-5
regDeltaReceivingEpaPerGame,-8.47848028294977e-7
regWeightedCatchRate,2.7216384072537275e-4
regDeltaCatchRate,-9.134188558541622e-5
regWeightedYardsPerTarget,1.8935484746578368e-5
regDeltaYardsPerTarget,-1.7674862373987237e-4
regWeightedYardsPerReception,-2.2866842250391856e-4
regDeltaYardsPerReception,1.0089698285150974e-4
regWeightedTdPerTarget,-7.110445865762967e-5
regDeltaTdPerTarget,-9.672262064005209e-5
regWeightedAirYardsPerTarget,1.0473742381427391e-4
regDeltaAirYardsPerTarget,-1.7945417565943202e-4
regWeightedYacPerReception,8.430216144824344e-5
regDeltaYacPerReception,-1.3879816810233067e-4
regWeightedRushYardsPerCarry,1.6320920798423686e-4
regDeltaRushYardsPerCarry,5.098861138912656e-5
regWeightedTeamTargetShareCalc,1.4242903210210005e-4
regDeltaTeamTargetShareCalc,-2.3488174527199656e-4
regWeightedTeamYardsShareCalc,5.915817352103172e-5
regDeltaTeamYardsShareCalc,2.7655689483126384e-4
regWeightedTeamTdShareCalc,2.2340981202430865e-4
regDeltaTeamTdShareCalc,8.708153409139126e-5
regWeightedTeamAirYardsShareCalc,8.885432498016353e-5
regDeltaTeamAirYardsShareCalc,-1.0252630270977706e-4
snapPrev1SnapGames,3.085489628095793e-4
snapPrev1OffenseSnaps,1.1667439570298759e-4
snapPrev1OffenseSnapsPerGame,2.3683171090634883e-4
snapPrev1OffensePctMean,3.693863619146576e-4
snapPrev1OffensePctMax,-3.883653408665554e-4
snapPrev1StSnaps,2.60567412017203e-4
snapPrev1StSnapsPerGame,-1.8841698250593092e-4
snapPrev1StPctMean,-2.3196727623218298e-4
snapPrev1OffenseSnapShare,-3.9812825747063854e-4
snapPrev2SnapGames,3.5959546935004916e-4
snapPrev2OffenseSnaps,5.466245428507512e-4
snapPrev2OffenseSnapsPerGame,7.34171706212532e-4
snapPrev2OffensePctMean,9.262363048345762e-4
snapPrev2OffensePctMax,-7.365646442633307e-5
snapPrev2StSnaps,2.3021995283597368e-4
snapPrev2StSnapsPerGame,-1.7902136535986808e-4
snapPrev2StPctMean,-1.0375151791082254e-4
snapPrev2OffenseSnapShare,-4.333697307721768e-4
snapYearsAvailable,-7.243640005921549e-6
snapWeightedSnapGames,7.891356492260774e-5
snapDeltaSnapGames,1.1447345279000113e-4
snapWeightedOffenseSnaps,-1.3315086436077855e-4
snapDeltaOffenseSnaps,4.3146752948157506e-4
snapWeightedOffenseSnapsPerGame,3.582725115158047e-5
snapDeltaOffenseSnapsPerGame,2.2906159670653314e-4
snapWeightedOffensePctMean,2.507001014449125e-4
snapDeltaOffensePctMean,1.2178682293825282e-4
snapWeightedOffensePctMax,-4.7737991935655166e-4
snapDeltaOffensePctMax,-1.7086773862797853e-5
snapWeightedStSnaps,3.817794233039221e-4
snapDeltaStSnaps,8.792082301118366e-5
snapWeightedStSnapsPerGame,6.1722333756236615e-6
snapDeltaStSnapsPerGame,9.400593761268733e-5
snapWeightedStPctMean,4.359907532883814e-6
snapDeltaStPctMean,-8.266690244931841e-5
snapWeightedOffenseSnapShare,-4.0335641107756707e-4
snapDeltaOffenseSnapShare,-2.5491845941415817e-4
ngsPrev1Targets,3.466695980138834e-4
ngsPrev1Receptions,7.559285101584495e-4
ngsPrev1Yards,9.366960650665509e-4
ngsPrev1RecTouchdowns,3.4990943447801685e-4
ngsPrev1CatchPercentage,3.1589574839141195e-4
ngsPrev1AvgCushion,4.004690339049836e-4
ngsPrev1AvgSeparation,2.682117894237609e-4
ngsPrev1AvgIntendedAirYards,8.96274184014856e-5
ngsPrev1PercentShareOfIntendedAirYards,3.6523920774651894e-4
ngsPrev1AvgYac,5.013246427336224e-4
ngsPrev1AvgExpectedYac,4.917570007431209e-6
ngsPrev1AvgYacAboveExpectation,8.141040076178878e-4
ngsPrev1YardsPerTarget,2.2322438100472804e-4
ngsPrev1YardsPerReception,-4.4758466281363876e-5
ngsPrev1TdPerTarget,1.1470964021168669e-4
ngsPrev2Targets,9.65396061174318e-5
ngsPrev2Receptions,1.8397321765170613e-4
ngsPrev2Yards,0.00107581313525759
ngsPrev2RecTouchdowns,-8.393727813127573e-5
ngsPrev2CatchPercentage,2.1282595877138695e-5
ngsPrev2AvgCushion,-1.2356093257725762e-4
ngsPrev2AvgSeparation,-1.8478070905650362e-4
ngsPrev2AvgIntendedAirYards,-3.7932425381373365e-4
ngsPrev2PercentShareOfIntendedAirYards,4.31504753800101e-6
ngsPrev2AvgYac,4.726133905251071e-4
ngsPrev2AvgExpectedYac,2.425349444634221e-4
ngsPrev2AvgYacAboveExpectation,4.8685971406318393e-4
ngsPrev2YardsPerTarget,5.065713242794382e-4
ngsPrev2YardsPerReception,1.2735399853794542e-4
ngsPrev2TdPerTarget,-7.94413464107868e-6
ngsYearsAvailable,7.992049816107677e-5
ngsWeightedTargets,-3.0070079149225516e-5
ngsDeltaTargets,7.822194116504047e-5
ngsWeightedReceptions,-2.232998088548417e-5
ngsDeltaReceptions,4.738005819321873e-4
ngsWeightedYards,6.115615767457389e-4
ngsDeltaYards,1.1216498254088263e-4
ngsWeightedRecTouchdowns,1.0105258995517012e-4
ngsDeltaRecTouchdowns,1.2695335055673386e-4
ngsWeightedCatchPercentage,-5.114476936339494e-4
ngsDeltaCatchPercentage,5.084255438284924e-4
ngsWeightedAvgCushion,-1.721390219506139e-4
ngsDeltaAvgCushion,-4.496479810785365e-5
ngsWeightedAvgSeparation,-3.644650102088235e-4
ngsDeltaAvgSeparation,-9.774923165395558e-4
ngsWeightedAvgIntendedAirYards,1.2050563623881421e-4
ngsDeltaAvgIntendedAirYards,1.7114813676198009e-4
ngsWeightedPercentShareOfIntendedAirYards,1.8509712446564477e-4
ngsDeltaPercentShareOfIntendedAirYards,1.8493059585818092e-4
ngsWeightedAvgYac,-1.1836208966394721e-4
ngsDeltaAvgYac,1.8814884605148358e-4
ngsWeightedAvgExpectedYac,-1.729622839431134e-4
ngsDeltaAvgExpectedYac,5.666764487936239e-4
ngsWeightedAvgYacAboveExpectation,3.997534492768278e-5
ngsDeltaAvgYacAboveExpectation,-2.8850566537677884e-4
ngsWeightedYardsPerTarget,-3.75639004702306e-4
ngsDeltaYardsPerTarget,1.416413245470684e-4
ngsWeightedYardsPerReception,-2.489890395420085e-4
ngsDeltaYardsPerReception,1.999261142555681e-4
ngsWeightedTdPerTarget,-9.294637766634362e-5
ngsDeltaTdPerTarget,3.0214193494805454e-4
teamPrev1Games,2.8188963873970285e-4
teamPrev1Wins,2.484844015272435e-4
teamPrev1Losses,-1.9453945913490406e-4
teamPrev1Ties,-8.52712677237029e-5
teamPrev1WinPct,2.0742372395782108e-4
teamPrev1Attempts,-1.9162527240928313e-4
teamPrev1PassingYards,5.947808967323231e-5
teamPrev1PassingTds,-8.069028558844519e-5
teamPrev1PassingEpa,-1.6943914857134318e-4
teamPrev1PassingCpoe,8.101133106900384e-5
teamPrev1Carries,1.4354256291838931e-5
teamPrev1RushingYards,1.4854805033626622e-4
teamPrev1RushingEpa,-1.434946409254865e-4
teamPrev1PointsAgainst,1.910516778483773e-4
teamPrev1Targets,-5.135733523953409e-6
teamPrev1ReceivingYards,7.50697324538539e-5
teamPrev1ReceivingTds,-6.377658784184362e-5
teamPrev1ReceivingAirYards,4.655182548178751e-5
teamPrev1PassRate,-3.315431687890364e-5
teamPrev1TeamPlays,-1.7428586360880723e-4
teamPrev1PassingYardsPerAttempt,2.6862030935324984e-4
teamPrev1PassingYardsPerGame,9.254628102032259e-5
teamPrev1PassingTdsPerGame,-2.3534896104912342e-5
teamPrev1PassingEpaPerGame,-1.406999357114882e-4
teamPrev1ReceivingYardsPerTarget,2.1370881609823978e-4
teamPrev1PassRateDiffLeague,8.699475189603514e-5
teamPrev1PassingYardsPerGameDiffLeague,2.203228124697138e-4
teamPrev1PassingEpaPerGameDiffLeague,-3.8518212788722995e-5
