contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,prevContractTerm,prevContractAav,prevContractAavPerc,regWeightedTargets,regWeightedReceptions,regWeightedReceivingYards,regWeightedReceivingTds,regWeightedTargetShare,snapWeightedOffensePctMean,ngsWeightedYardsPerTarget,marketPrev1MedianAavPerc,prevContractAavMillions
5533,Kawaan Baker,kawaan baker,00-0036939,BakeKa00,27,5,LV,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5534,Kazmeir Allen,kazmeir allen,00-0038830,AlleKa00,26,3,WAS,3,903333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.903333
5535,Kearis Jackson,kearis jackson,00-0038969,JackKe02,26,3,HOU,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5536,Keenan Allen,keenan allen,00-0030279,AlleKe00,33,13,LAC,1,3020000,0.0108,121.66666666666669,77.33333333333333,766,5,0.2261891448594647,0.6591372549019607,6.295488416203766,0.0042,3.02
5537,Keith Kirkwood,keith kirkwood,00-0034317,KirkKe00,31,8,BAL,1,1170000,0.0042,NA,NA,NA,NA,NA,NA,NA,0.0042,1.17
5538,Kelvin Harmon,kelvin harmon,00-0035297,HarmKe00,29,7,DAL,1,960000,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0042,0.96
5539,Keytaon Thompson,keytaon thompson,NA,NA,NA,NA,DET,3,900000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9
5540,Kody Case,kody case,00-0038532,NA,27,3,IND,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5541,Kristian Wilkerson,kristian wilkerson,00-0036183,WilkKr00,29,6,BUF,1,1100000,0.0039,3,2,18,1,0.00506756756756756,0.22,NA,0.0042,1.1
5542,Kyle Philips,kyle philips,00-0037273,PhilKy01,26,4,LV,1,1030000,0.0037,NA,NA,NA,NA,NA,NA,NA,0.0042,1.03
5543,Lance McCutcheon,lance mccutcheon,00-0037055,McCuLa01,27,4,PIT,1,960000,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0042,0.96
5544,Laviska Shenault,laviska shenault,NA,NA,27,NA,BUF,1,1210000,0.0043,NA,NA,NA,NA,NA,NA,NA,0.0042,1.21
5545,Lideatrick Griffin,lideatrick griffin,00-0039541,GrifLi00,25,2,GB,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5546,Louis Rees-Zammit,louis rees zammit,NA,NA,25,NA,JAX,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5547,Mac Hippenhammer,mac hippenhammer,00-0038887,NA,27,3,CIN,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5548,Malachi Carter,malachi carter,00-0038886,NA,26,3,CIN,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5549,Malik Flowers,malik flowers,00-0038904,FlowMa01,26,3,NO,3,898667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898667
5550,Malik Heath,malik heath,00-0038465,HeatMa00,25,3,GB,3,901333,0.004,9,7.333333333333333,89.66666666666667,0.6666666666666666,0.019484007996002,0.26736596736596735,NA,0.0042,0.901333
5551,Malik Knowles,malik knowles,00-0038806,KnowMa00,25,3,SF,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5552,Malik Taylor,malik taylor,00-0035480,TaylMa01,30,7,DET,1,1100000,0.0039,NA,NA,NA,NA,NA,NA,NA,0.0042,1.1
5553,Marquez Callaway,marquez callaway,00-0036219,CallMa01,27,6,LV,1,1170000,0.0042,NA,NA,NA,NA,NA,0.04,NA,0.0042,1.17
5554,Marquez Valdes-Scantling,marquez valdes scantling,00-0034272,ValdMa00,31,8,PIT,1,1255000,0.0045,34,15.666666666666666,217,2,0.06478114478114479,0.5011904761904762,NA,0.0042,1.255
5555,Mathew Sexton,mathew sexton,00-0036471,SextMa00,28,3,MIA,2,877500,0.0034,NA,NA,NA,NA,NA,NA,NA,0.0042,0.8775
5556,Michael Gallup,michael gallup,00-0034764,GallMi00,30,8,WAS,1,1250000,0.0045,NA,NA,NA,NA,NA,NA,NA,0.0042,1.25
5557,Mike Strachan,mike strachan,00-0036482,StraMi03,28,5,WAS,1,1100000,0.0039,NA,NA,NA,NA,NA,NA,NA,0.0042,1.1
5558,Mike Williams,mike williams,00-0033536,WillMi07,31,9,LAC,1,3000000,0.0107,34,21,298,1,0.05772495755517826,0.4066666666666666,NA,0.0042,3
5559,Mike Woods,mike woods,00-0037300,WoodMi00,26,4,CLE,4,957072,0.0046,17,7,65,0,0.02681388012618296,0.838,NA,0.0042,0.957072
5560,Miles Boykin,miles boykin,00-0035703,BoykMi00,29,7,CHI,1,1170000,0.0042,NA,NA,NA,NA,NA,NA,NA,0.0042,1.17
5561,Montrell Washington,montrell washington,00-0037272,WashMo00,27,4,NYG,1,1030000,0.0037,0,0,0,0,0,0.07,NA,0.0042,1.03
5562,Nick Williams,nick williams,00-0039045,NA,NA,3,DEN,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5563,Noah Brown,noah brown,00-0033591,BrowNo00,30,9,WAS,1,3250000,0.0116,25.333333333333332,15,206.33333333333337,0.3333333333333333,0.05246913580246912,0.4836363636363636,8.089285714285714,0.0042,3.25
5564,Oliver Martin,oliver martin,00-0038672,NA,27,3,JAX,3,898667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898667
5565,Pokey Wilson,pokey wilson,NA,NA,24,NA,NYJ,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5566,Quintez Cephus,quintez cephus,00-0036277,CephQu00,27,6,HOU,1,1100000,0.0039,NA,NA,NA,NA,NA,NA,NA,0.0042,1.1
5567,Racey McMath,racey mcmath,00-0036652,McMaRa00,26,5,DAL,2,1042500,0.0041,NA,NA,NA,NA,NA,NA,NA,0.0042,1.0425
5568,Rakim Jarrett,rakim jarrett,00-0038821,JarrRa00,25,3,TB,3,906667,0.004,11,9,124,0,0.01953818827708703,0.325,NA,0.0042,0.906667
5569,Ray-Ray McCloud,ray ray mccloud,00-0034407,McClRa00,29,8,ATL,2,2500000,0.0098,39,25.333333333333332,274.6666666666667,0.3333333333333333,0.07307116225365606,0.6370588235294118,7.885057471264368,0.0042,2.5
5570,River Cracraft,river cracraft,00-0034054,CracRi00,31,9,WAS,1,1170000,0.0042,3,2.3333333333333335,22,0,0.00528169014084507,0.10916666666666668,NA,0.0042,1.17
5571,Robbie Chosen,robbie chosen,00-0032688,AndeRo04,32,10,WAS,1,1255000,0.0045,7.333333333333333,3.6666666666666665,37,0,0.01623630672926447,0.31611111111111106,NA,0.0042,1.255
5572,Robert Woods,robert woods,00-0030431,WoodRo02,33,13,PIT,1,2000000,0.0072,30,20,203,0,0.05484460694698354,0.37066666666666664,NA,0.0042,2
5573,Rondale Moore,rondale moore,00-0036936,MoorRo02,25,5,MIN,1,2000000,0.0072,NA,NA,NA,NA,NA,NA,NA,0.0042,2
5574,Russell Gage,russell gage,00-0034411,GageRu00,30,8,SF,1,1170000,0.0042,NA,NA,NA,NA,NA,0.37,NA,0.0042,1.17
5575,Sam James,sam james,NA,NA,NA,NA,LA,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5576,Scotty Miller,scotty miller,NA,NA,28,NA,PIT,1,1337500,0.0048,NA,NA,NA,NA,NA,NA,NA,0.0042,1.3375
5577,Scotty Washington,scotty washington,00-0035769,NA,28,6,BAL,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5578,Sean Ryan,sean ryan,00-0038455,RyanSe01,27,3,BAL,3,900000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9
5579,Seth Williams,seth williams,00-0036657,WillSe00,25,5,LV,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5580,Shae Wyatt,shae wyatt,NA,NA,NA,NA,SF,3,901000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901
5581,Shaq Davis,shaq davis,NA,NA,25,NA,PHI,2,927500,0.0036,NA,NA,NA,NA,NA,NA,NA,0.0042,0.9275
5582,Sterling Shepard,sterling shepard,00-0032385,ShepSt00,33,10,TB,1,1750000,0.0063,52.333333333333336,36.666666666666664,358.6666666666667,1,0.09550653407007832,0.551978021978022,6.849673202614379,0.0042,1.75
5583,Steven Sims Jr.,steven sims jr,NA,NA,28,NA,SEA,1,1170000,0.0042,NA,NA,NA,NA,NA,NA,NA,0.0042,1.17
5584,Sy Barnett,sy barnett,NA,NA,NA,NA,NO,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5585,T.J. Luther,t j luther,00-0038502,LuthTJ00,25,3,CAR,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5586,Tarik Black,tarik black,00-0036491,BlacTa00,28,5,MIA,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5587,Tay Martin,tay martin,00-0037524,MartTa00,28,4,WAS,1,840000,0.003,2,1.6666666666666667,31.666666666666668,0.3333333333333333,0.00440134414493388,0.13333333333333333,NA,0.0042,0.84
5588,Taye Barber,taye barber,00-0038814,NA,26,3,TB,3,899000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.899
5589,Taylor Grimes,taylor grimes,00-0038789,NA,26,3,DEN,3,899000,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.899
5590,Thayer Thomas,thayer thomas,00-0038810,ThomTh01,27,3,MIN,3,901667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901667
5591,Tim Patrick,tim patrick,00-0033375,PatrTi00,32,9,DET,1,2500000,0.009,30.666666666666668,21,256,3,0.05734751961821242,0.40895833333333337,NA,0.0042,2.5
5592,Tre’Shaun Harrison,tre shaun harrison,00-0038844,HarrTr02,25,3,TEN,3,901667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901667
5593,Trent Taylor,trent taylor,00-0033292,TaylTr02,31,9,SF,1,1170000,0.0042,1,1,11,0,0.00194931773879142,0.095,NA,0.0042,1.17
5594,Trenton Irwin,trenton irwin,00-0035341,IrwiTr00,30,7,JAX,1,1170000,0.0042,10,3,15,0,0.01592356687898089,0.2914285714285714,NA,0.0042,1.17
5595,Trishton Jackson,trishton jackson,00-0035934,JackTr02,28,6,ARI,1,1100000,0.0039,NA,NA,NA,NA,NA,0.08499999999999999,NA,0.0042,1.1
5596,Tyjon Lindsey,tyjon lindsey,00-0038763,LindTy01,27,3,SEA,3,898667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898667
5597,Tyler Adams,tyler adams,00-0038531,NA,NA,3,IND,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5598,Tyler Hudson,tyler hudson,00-0038356,NA,25,3,LA,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5599,Tyler Johnson,tyler johnson,00-0036427,JohnTy00,27,6,NYJ,1,1170000,0.0042,25.666666666666668,16.666666666666668,228.33333333333337,1,0.05068558956525371,0.3988888888888889,NA,0.0042,1.17
5600,Tyler Lockett,tyler lockett,00-0032211,LockTy00,33,11,LV,1,1255000,0.0045,61.333333333333336,37.666666666666664,394,1.3333333333333333,0.11253329796288314,0.5635294117647058,6.22997542997543,0.0042,1.255
5601,Tyrone Scott,tyrone scott,NA,NA,NA,NA,KC,3,898333,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.898333
5602,Winston Wright,winston wright,NA,NA,NA,NA,CLE,1,840000,0.003,NA,NA,NA,NA,NA,NA,NA,0.0042,0.84
5603,Xavier Malone,xavier malone,00-0038928,NA,26,3,ATL,3,901667,0.004,NA,NA,NA,NA,NA,NA,NA,0.0042,0.901667
5604,Zach Pascal,zach pascal,00-0033251,PascZa00,31,9,NYG,1,1422500,0.0051,0,0,0,0,0,0.06588235294117648,NA,0.0042,1.4225
